followee;follower;id_followee;id_follower
pablo_ruiz15;Diego12523448;38205;1516
Cooperativa;maggie22067592;0;2792
elmostrador;maggie22067592;3;2792
Cooperativa;CeciSmith8;0;1295
aros9768;CeciSmith8;39209;1295
coni55534586;CeciSmith8;19776;1295
Cooperativa;AndrewM41812409;0;2344
Cooperativa;Francis62401436;0;1148
latercera;Francis62401436;2;1148
elmostrador;Francis62401436;3;1148
Alwarrior2;Francis62401436;36755;1148
Cooperativa;Daniel21801544;0;1972
latercera;Daniel21801544;2;1972
Cooperativa;Daniela19587063;0;2297
latercera;Daniela19587063;2;2297
Cooperativa;DanielO27296834;0;926
latercera;DanielO27296834;2;926
Cooperativa;Alejandraan12;0;1651
casiop3a;Alejandraan12;26326;1651
Cooperativa;papa_calderon;0;2307
latercera;papa_calderon;2;2307
Rodolfomarin;papa_calderon;15861;2307
Cooperativa;betyfarias2;0;617
latercera;betyfarias2;2;617
richi195261;betyfarias2;12662;617
Cooperativa;LauraChavezBra1;0;310
Vian_LeBlac;LauraChavezBra1;3537;310
Cooperativa;Claudio95790916;0;1303
LuisMoragaCast2;Claudio95790916;24306;1303
reset5432101;Claudio95790916;28517;1303
Cooperativa;jessroj40083887;0;461
guiselmr;jessroj40083887;38624;461
Cooperativa;JuanPab89803067;0;484
marielapinuer;JuanPab89803067;22477;484
Cooperativa;barhi_mol;0;896
Cooperativa;karleb7;0;572
Cooperativa;guzman_leslyn;0;2852
latercera;guzman_leslyn;2;2852
elmostrador;guzman_leslyn;3;2852
Cooperativa;Atos51765915;0;45
sofii_cg31;Atos51765915;3010;45
Cooperativa;Paulopa98096229;0;62
latercera;Paulopa98096229;2;62
Cooperativa;ArjelTatiana;0;2799
latercera;ArjelTatiana;2;2799
elmostrador;ArjelTatiana;3;2799
Cooperativa;munoz_mieres;0;2582
latercera;munoz_mieres;2;2582
elmostrador;munoz_mieres;3;2582
Katona_Rojas;munoz_mieres;13160;2582
Cooperativa;Luciano3892;0;1727
Cooperativa;Oliden44020088;0;1345
Cooperativa;ValeskaHenriq16;0;1549
Cooperativa;matias_witt;0;2283
latercera;matias_witt;2;2283
elmostrador;matias_witt;3;2283
PabloHernndezC3;matias_witt;10852;2283
Cooperativa;MonicaC97980800;0;80
elmostrador;MonicaC97980800;3;80
Cooperativa;Mara89941572;0;312
Cooperativa;Vicho20575557;0;1423
Cooperativa;David87066943;0;1503
Cooperativa;AEcosofia;0;412
elmostrador;AEcosofia;3;412
Cooperativa;danyb86913803;0;2965
elmostrador;danyb86913803;3;2965
panchorockst;danyb86913803;5668;2965
Cooperativa;Miguel62384952;0;1888
Cooperativa;ElithaErzsebet;0;1036
Cooperativa;Lili70225637;0;1455
latercera;Lili70225637;2;1455
elmostrador;Lili70225637;3;1455
ThomRainer;Lili70225637;8406;1455
Cooperativa;JoseTrato;0;153
elmostrador;JoseTrato;3;153
ivanrdevia;JoseTrato;40845;153
Cooperativa;nostacop;0;1846
elmostrador;nostacop;3;1846
Rubn06047752;nostacop;882;1846
Cooperativa;Nicolas43099616;0;687
Cooperativa;fabinmelincast1;0;2861
LicanRayComuna;fabinmelincast1;38780;2861
Cooperativa;RenatoT94328017;0;938
Cooperativa;josueleo344;0;1622
elmostrador;josueleo344;3;1622
Cooperativa;Ariel_alfonsooo;0;150
Cooperativa;augustozuiga7;0;2309
Cooperativa;Natalia45682481;0;2118
pixelchileno;Natalia45682481;3374;2118
Mara64579840;Natalia45682481;1184;2118
MielDignidad;Natalia45682481;18578;2118
chingonaMarian;Natalia45682481;4413;2118
true_factory;Natalia45682481;14836;2118
Cooperativa;MauroEx57553526;0;302
siegel_lab;MauroEx57553526;8119;302
Cooperativa;Alejand83327714;0;1989
fpivan;Alejand83327714;32771;1989
muquillazaeve;Alejand83327714;33533;1989
Cooperativa;TraroMaria;0;547
elizabethceci89;TraroMaria;459;547
MaraCas75781553;TraroMaria;978;547
3riking;TraroMaria;14581;547
Cooperativa;Orlando72071306;0;2053
latercera;Orlando72071306;2;2053
Cooperativa;EggersAlexandra;0;2393
latercera;EggersAlexandra;2;2393
Cooperativa;marimbang;0;2017
Cooperativa;Toxikomano1;0;1456
Papelillolillo_;Toxikomano1;1461;1456
Siemprefunada;Toxikomano1;33185;1456
Cooperativa;Natalia49016590;0;1708
latercera;Natalia49016590;2;1708
Cooperativa;parrasaav_m;0;2753
MonicaArroyoMom;parrasaav_m;34776;2753
manegritto;parrasaav_m;9637;2753
Cooperativa;Papelillolillo_;0;1461
percasita;Papelillolillo_;9365;1461
Cooperativa;cbazignan1;0;397
Cooperativa;JosTorr13664046;0;2633
Cooperativa;Rich_Guaracha;0;1518
latercera;Rich_Guaracha;2;1518
elmostrador;Rich_Guaracha;3;1518
quilombosfera;Rich_Guaracha;23249;1518
Cooperativa;zulysnid25;0;2504
antoniomirann;zulysnid25;18849;2504
MarioHamuy;zulysnid25;34611;2504
Cooperativa;juan76962466;0;2659
elietteampuero;juan76962466;2158;2659
GpHistorico;juan76962466;17762;2659
Cooperativa;deyanir69247131;0;2587
Cooperativa;karla_proboste;0;1049
2123Ignacio;karla_proboste;864;1049
Cooperativa;ToniaMa82130888;0;1974
HappyRoom2;ToniaMa82130888;24157;1974
Cooperativa;javierzunigasaa;0;1863
latercera;javierzunigasaa;2;1863
elmostrador;javierzunigasaa;3;1863
Felipeavegam;javierzunigasaa;1382;1863
bluue_____;javierzunigasaa;24596;1863
Cooperativa;Gerson07465461;0;157
ampliadodeltren;Gerson07465461;15370;157
Cooperativa;karin98155757;0;48
latercera;karin98155757;2;48
Cooperativa;Carol1131702499;0;1386
latercera;Carol1131702499;2;1386
Cooperativa;Valeria10320521;0;2891
elmostrador;Valeria10320521;3;2891
juanin_y;Valeria10320521;686;2891
yere_simon;Valeria10320521;986;2891
Biciemporio;Valeria10320521;33790;2891
Cooperativa;Ivonne60088198;0;1885
latercera;Ivonne60088198;2;1885
elmostrador;Ivonne60088198;3;1885
AlexAlarconHein;Ivonne60088198;37131;1885
cindysoh;Ivonne60088198;25273;1885
Cooperativa;cmerinogarcia;0;1712
elmostrador;cmerinogarcia;3;1712
Cooperativa;BarredaNikol;0;78
elmostrador;BarredaNikol;3;78
Cooperativa;Imvc10;0;2327
juanpablopsiq;Imvc10;36219;2327
PelotaMia;Imvc10;6473;2327
Cooperativa;Valeriapauli1;0;2539
latercera;Valeriapauli1;2;2539
Cooperativa;claudia57497589;0;639
latercera;claudia57497589;2;639
elmostrador;claudia57497589;3;639
Cooperativa;CarlosPozoOliv1;0;1140
Cooperativa;Elizabeth864161;0;1161
Cooperativa;FyneeDs;0;900
Soledad_Purpura;FyneeDs;23000;900
CorpUdechile;FyneeDs;30499;900
Cooperativa;JorgeSa65669897;0;392
en1mes;JorgeSa65669897;17029;392
3hi66UXOKZSVPSv;JorgeSa65669897;40751;392
sumattemas;JorgeSa65669897;25386;392
Cooperativa;mariapazVEGADI1;0;415
latercera;mariapazVEGADI1;2;415
elmostrador;mariapazVEGADI1;3;415
