Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,638.299988,640.000000,637.049988,638.299988,638.299988,0
2015-07-02,638.349976,640.599976,634.700012,638.349976,638.349976,0
2015-07-03,634.500000,637.500000,634.400024,634.500000,634.500000,0
2015-07-06,636.500000,642.500000,636.500000,636.500000,636.500000,0
2015-07-07,641.400024,649.500000,641.400024,641.400024,641.400024,0
2015-07-08,647.650024,654.700012,647.650024,647.650024,647.650024,0
2015-07-09,651.500000,651.500000,645.200012,651.500000,651.500000,0
2015-07-10,646.650024,647.599976,642.700012,646.650024,646.650024,0
2015-07-13,646.700012,649.500000,644.650024,646.700012,646.700012,0
2015-07-14,643.700012,644.900024,641.150024,643.700012,643.700012,0
2015-07-15,641.750000,644.450012,641.549988,641.750000,641.750000,0
2015-07-16,642.799988,642.799988,641.750000,642.799988,642.799988,0
2015-07-17,642.799988,646.000000,642.799988,642.799988,642.799988,0
2015-07-20,645.099976,650.000000,645.099976,645.099976,645.099976,0
2015-07-21,649.299988,652.950012,647.349976,649.299988,649.299988,0
2015-07-22,650.900024,656.099976,650.900024,650.900024,650.900024,0
2015-07-23,653.450012,656.500000,652.049988,653.450012,653.450012,0
2015-07-24,656.400024,662.000000,656.400024,656.400024,656.400024,0
2015-07-27,660.200012,667.299988,660.200012,660.200012,660.200012,0
2015-07-28,666.200012,666.200012,662.099976,666.200012,666.200012,0
2015-07-29,665.299988,667.250000,663.299988,665.299988,665.299988,0
2015-07-30,666.299988,673.099976,666.299988,666.299988,666.299988,0
2015-07-31,672.000000,672.799988,668.250000,672.000000,672.000000,0
2015-08-03,674.000000,680.599976,674.000000,674.000000,674.000000,0
2015-08-04,679.900024,679.900024,675.450012,679.900024,679.900024,0
2015-08-05,681.849976,684.049988,680.250000,681.849976,681.849976,0
2015-08-06,681.450012,686.200012,681.150024,681.450012,681.450012,0
2015-08-07,678.599976,682.500000,674.900024,678.599976,678.599976,0
2015-08-10,677.500000,680.000000,673.000000,677.500000,677.500000,0
2015-08-11,672.799988,681.349976,672.799988,672.799988,672.799988,0
2015-08-12,680.900024,683.200012,679.900024,680.900024,680.900024,0
2015-08-13,682.400024,686.099976,682.400024,682.400024,682.400024,0
2015-08-14,685.000000,685.000000,682.400024,685.000000,685.000000,0
2015-08-17,684.500000,690.599976,684.500000,684.500000,684.500000,0
2015-08-18,690.200012,699.200012,690.200012,690.200012,690.200012,0
2015-08-19,691.000000,698.099976,690.500000,691.000000,691.000000,0
2015-08-20,694.299988,698.000000,688.549988,694.299988,694.299988,0
2015-08-21,690.200012,697.599976,690.200012,690.200012,690.200012,0
2015-08-24,697.500000,708.400024,697.500000,697.500000,697.500000,0
2015-08-25,703.799988,703.799988,696.000000,703.799988,703.799988,0
2015-08-26,704.799988,708.549988,703.200012,704.799988,704.799988,0
2015-08-27,704.500000,705.000000,695.099976,704.500000,704.500000,0
2015-08-28,694.000000,695.299988,686.400024,694.000000,694.000000,0
2015-08-31,691.500000,698.150024,691.500000,691.500000,691.500000,0
2015-09-01,692.200012,697.049988,686.950012,692.200012,692.200012,0
2015-09-02,692.000000,692.000000,684.099976,692.000000,692.000000,0
2015-09-03,689.200012,690.750000,685.500000,689.200012,689.200012,0
2015-09-04,688.799988,692.900024,687.400024,688.799988,688.799988,0
2015-09-07,692.200012,695.000000,689.700012,692.200012,692.200012,0
2015-09-08,693.500000,693.500000,685.400024,693.500000,693.500000,0
2015-09-09,690.299988,691.400024,686.349976,690.299988,690.299988,0
2015-09-10,689.150024,694.299988,684.799988,689.150024,689.150024,0
2015-09-11,685.000000,686.599976,679.000000,685.000000,685.000000,0
2015-09-14,687.349976,690.900024,686.500000,687.349976,687.349976,0
2015-09-15,687.400024,687.799988,683.349976,687.400024,687.400024,0
2015-09-16,683.500000,683.500000,677.700012,683.500000,683.500000,0
2015-09-17,676.200012,678.500000,674.299988,676.200012,676.200012,0
2015-09-18,678.349976,678.349976,673.400024,678.349976,678.349976,0
2015-09-21,678.349976,684.299988,675.849976,678.349976,678.349976,0
2015-09-22,684.200012,699.099976,684.200012,684.200012,684.200012,0
2015-09-23,697.799988,702.799988,695.549988,698.000000,698.000000,0
2015-09-24,703.049988,709.549988,700.099976,703.049988,703.049988,0
2015-09-25,696.400024,701.000000,692.000000,696.400024,696.400024,0
2015-09-28,700.900024,707.599976,700.900024,700.900024,700.900024,0
2015-09-29,705.650024,706.599976,702.299988,705.650024,705.650024,0
2015-09-30,703.700012,703.700012,696.000000,703.700012,703.700012,0
2015-10-01,695.599976,696.000000,692.599976,695.599976,695.599976,0
2015-10-02,695.599976,697.900024,689.500000,695.599976,695.599976,0
2015-10-05,688.599976,688.599976,681.299988,688.599976,688.599976,0
2015-10-06,682.599976,684.700012,678.900024,682.599976,682.599976,0
2015-10-07,680.400024,680.549988,675.500000,680.400024,680.400024,0
2015-10-08,678.799988,685.200012,678.799988,678.799988,678.799988,0
2015-10-09,677.000000,678.000000,670.849976,677.000000,677.000000,0
2015-10-12,677.500000,677.500000,677.500000,677.500000,677.500000,0
2015-10-13,677.500000,684.400024,677.500000,677.500000,677.500000,0
2015-10-14,683.200012,683.299988,678.599976,683.200012,683.200012,0
2015-10-15,679.500000,679.500000,673.849976,679.500000,679.500000,0
2015-10-16,673.500000,675.000000,671.299988,673.500000,673.500000,0
2015-10-19,674.099976,680.599976,674.099976,674.099976,674.099976,0
2015-10-20,679.700012,687.299988,678.849976,679.700012,679.700012,0
2015-10-21,687.099976,693.500000,687.099976,687.099976,687.099976,0
2015-10-22,692.599976,693.549988,689.900024,692.599976,692.599976,0
2015-10-23,688.950012,688.950012,683.799988,688.950012,688.950012,0
2015-10-26,686.099976,686.299988,683.349976,686.099976,686.099976,0
2015-10-27,687.400024,689.299988,685.500000,687.400024,687.400024,0
2015-10-28,687.400024,689.000000,685.900024,687.400024,687.400024,0
2015-10-29,687.250000,692.400024,687.250000,687.250000,687.250000,0
2015-10-30,688.400024,691.400024,686.750000,688.400024,688.400024,0
2015-11-02,690.750000,693.400024,690.599976,690.750000,690.750000,0
2015-11-03,691.049988,693.000000,689.000000,691.049988,691.049988,0
2015-11-04,688.200012,690.900024,687.500000,688.200012,688.200012,0
2015-11-05,691.599976,694.099976,691.549988,691.599976,691.599976,0
